Jordan,Bakerman,27,68
Bruce,Wayne,35,70
Walter,White,51,70
Henry,Hill,65,66
JeanClaude,VanDamme,55,69
Damion,Goodenow,33,81
Shannan,Moehrle,41,74
Zena,Seigfried,17,77
Cheree,Waldschmidt,41,77
Steffanie,Sadeghi,55,71
Reid,Hieserich,46,74
Lora,Bogdanovich,5,67
Arnoldo,Hacher,24,83
Harriette,People,25,74
Ivelisse,Rawles,35,70
Ami,Moland,36,76
Elisa,Osbon,46,76
Jesusa,Westerheide,31,69
Jerlene,Prosienski,37,68
Yolande,Brunderman,19,71
Janene,Thyne,15,76
Esteban,Ciucci,51,79
Veda,Felipa,46,75
Charlie,Gangwish,48,68
Angelo,Greenweig,21,72
Claudio,Vitolo,50,76
Edgardo,Braulio,22,74
Earnest,Jozwick,32,76
Sammie,Lefchik,22,68
Precious,Laffitte,44,67
Marleen,Markarian,29,70
Camellia,Detherage,24,71
Elda,Rudnicki,33,70
Patrick,Jaussi,17,70
Kate,Eylicio,51,75
Chanel,Leard,40,67
Debora,Rebolloso,37,71
Contessa,Fijalkowski,24,78
Mandy,Lofredo,38,64
Bo,Gailliard,39,70
Denis,Greenblatt,48,75
Chris,Arambuia,34,75
Krista,Sagendorf,41,66
Jacquline,Schutt,38,76
Julieta,Pion,44,68
Ivan,Zuberbuhler,47,77
Rea,Garter,27,72
Trinidad,Armstong,40,76
Roxanna,Karatz,18,68
Savanna,Uccio,27,69
Lauralee,Southwell,12,78
Felix,Midgley,23,66
Treasa,Nikolas,33,73
Aleen,Bierman,55,71
Armanda,Olivarra,34,71
Zona,Kiefel,35,69
Dede,Swanteck,41,70
Patrina,Ryer,23,77
Valentine,Firpi,34,65
Bee,Bevilaqua,29,70
Darin,Traverse,21,71
Rima,Daber,39,70
Cherryl,Marthaler,52,76
Alysia,Rochel,27,77
Romona,Harnar,29,79
Corrie,Pedregon,46,69
Wilda,Haubrick,12,77
Ok,Lathern,45,78
Iola,Mcomber,38,67
Wes,Abrial,38,68
Leonor,Revord,26,65
Clarissa,Lopez,46,66
Shanelle,Barbati,33,74
Augusta,Broom,22,74
Lucius,Tande,37,77
Woodrow,Fowlie,31,68
Dorian,Creggett,24,72
Richelle,Nocar,42,71
Tyree,Dumdei,46,70
Arianna,Manhart,33,72
Juliane,Glazier,32,68
Christa,Brochard,41,73
Carlie,Scoma,32,77
Karin,Lampley,22,67
Refugio,Grossenbacher,40,73
Shemika,Hardemon,38,78
Adrianna,Maylone,29,71
Anya,Marichalar,31,76
Brain,Harns,26,70
Cyrus,Sanlucas,29,69
Joanie,Salabarria,30,82
Garry,Fjeld,37,65
Theodora,Rackow,41,70
Brooks,Loftus,33,78
Suellen,Avancena,36,78
Juliet,Jaarda,51,69
Mickey,Bashir,37,72
Seema,Haaf,41,71
Gracia,Brentley,35,69
Elaine,Kniceley,41,68
Melynda,Deniz,32,71
Wilfred,Poling,45,69
Millard,Harlin,22,74
Christena,Roguemore,41,65
Cinda,Simonetti,40,70
Tod,Carlstrom,34,67
Connie,Sokoloski,23,68
Fay,Tierce,36,73
Julie,Reinhard,42,71
Robert,Indeck,24,77
Gearldine,Lebrecque,41,71
Alexander,Cocco,53,72
Shirleen,Duren,28,70
Freddy,Endecott,45,71
Gidget,Buttray,26,72
Myung,Deojay,45,79
Eduardo,Brezinka,36,73
Chan,Rohal,43,73
Chrissy,Coggeshall,51,68
Arline,Pavella,30,77
Lashawn,Cottongim,66,76
Britteny,Fullerton,40,73
Doretta,Buchna,32,75
Arturo,Lasley,44,84
Johnette,Grosjean,41,72
Bethany,Senger,40,67
Ellan,Motte,18,75
Ivette,Kiniry,26,67
Jalisa,Grinman,41,65
Lorri,Menjiva,33,57
Elna,Sorin,40,75
Ava,Felks,51,67
Pa,August,52,76
Fermina,Babula,34,73
Shamika,Fondaw,39,69
Jana,Schrandt,27,66
Antoinette,Rouly,26,71
Magdalena,Buchberger,50,75
Niki,Widrig,24,72
Mechelle,Thaden,47,73
Carmela,Buikema,36,74
Winnie,Saur,42,69
Raymonde,Linan,44,70
Lourdes,Noerenberg,47,69
Hannelore,Mallozzi,27,76
Kiana,Cherven,31,66
Ashlee,Mbamalu,39,74
Jim,Cessor,46,81
Olivia,Esposita,31,77
Else,Poque,39,69
Evon,Repenning,24,67
Curt,Topel,27,74
Christene,Docken,27,70
Yajaira,Espinosa,48,74
Carrie,Nissila,40,63
Annalee,Wiemer,33,70
Deneen,Trybala,53,67
